id,group,price,company,date,tag,ser_id,discount,Name,Positive,Negative,Rating,Current,24h Peak,All-Time Peak
277430,8,2.99,Xbox Game Studios,2014,1755,0,1.0,Halo: Spartan Assault,"2,853",700,0.7770999999999999,6,12,680
277590,70,14.99,Ubisoft,2014,4667,2,1.0,Assassin's Creed Freedom Cry,871,307,0.7109000000000001,5,14,447
281990,8,9.99,Paradox Interactive,2016,1755,0,0.0,Stellaris,"42,610","10,412",0.7920999999999999,"7,536","13,171","68,602"
282800,8,6.99,Fruitbat Factory,2013,4726,0,1.0,100% Orange Juice,"11,952",843,0.9089,191,316,"1,105"
283040,41,9.99,Agent Mega,2014,1770,0,1.0,Paper Dungeons,38,38,0.5,,,
286160,58,19.99,Berserk Games,2015,1770,0,0.0,Tabletop Simulator,"16,544",845,0.9275,"1,198","3,298","4,915"
287290,57,5.99,"CAPCOM Co., Ltd.",2015,3978,7,1.0,Resident Evil Revelations 2 / Biohazard Revelations 2,"9,651","2,880",0.7544,104,184,"3,686"
289650,8,29.99,Ubisoft,2014,4667,2,1.0,Assassin's Creed Unity,"12,927","7,524",0.6254,437,719,"12,180"
290930,8,0.0,Filip Victor,2015,4667,6,0.0,Half-Life 2: Update,"2,783",269,0.8751000000000001,18,57,"3,175"
291480,8,0.0,MY.GAMES,2014,1678,0,0.0,Warface,"34,125","15,017",0.6869,"1,854","3,330","13,867"
296200,8,0.0,Sytexis,2014,5611,0,0.0,,,,,,,
296490,28,9.99,Armor Games Studios,2015,1645,0,1.0,GemCraft - Chasing Shadows,"2,414",90,0.9201,85,186,"1,601"
298630,8,17.99,Team17 Digital Ltd,2015,3964,0,0.0,The Escapists,"11,788","1,440",0.8687,53,144,"3,354"
299500,34,12.99,Big Head Games Ltd,2013,17927,0,0.0,International Snooker,275,183,0.5846,6,16,79
300380,70,7.99,Tripwire Interactive,2017,4667,0,0.0,Road Redemption,"5,105","1,129",0.7959,118,229,806
304240,75,19.99,"CAPCOM Co., Ltd.",2015,3978,7,1.0,Resident Evil / biohazard HD REMASTER,"6,603",669,0.8798999999999999,66,130,"4,388"
306020,8,9.99,Ninja Kiwi,2014,1645,0,1.0,Bloons TD5,"4,183",355,0.8883,159,345,"1,660"
311560,28,19.99,Ubisoft,2015,4667,2,1.0,Assassin's Creed Rogue,"4,586","1,046",0.7909,148,298,"2,371"
312280,8,0.0,BlueLine Games,2015,1770,0,0.0,Simply Chess,"1,579",497,0.7345,18,33,596
314340,45,5.99,Ludeme Games,2014,1770,0,0.0,Chess 2: The Sequel,50,46,0.5156000000000001,,,
319510,2,4.99,Scott Cawthon,2014,3978,5,1.0,Five Nights at Freddy's,"16,030","2,200",0.8595,32,70,"1,316"
331600,41,39.99,BANDAI NAMCO Entertainment,2015,1681,0,0.0,ONE PIECE PIRATE WARRIORS 3,"4,703","1,014",0.7988,83,176,"4,274"
332800,83,7.99,Scott Cawthon,2014,3978,5,1.0,Five Nights at Freddy's 2,"8,046",853,0.878,8,32,"1,725"
334940,8,19.99,Team17 Digital Ltd,2018,6815,0,1.0,Yoku's Island Express,651,20,0.9039,2,13,94
335620,23,10.04,Trese Brothers,2018,1755,0,0.0,Star Traders: Frontiers,"1,448",181,0.8469,47,101,"1,111"
336150,67,14.99,Celeris,2015,17927,0,0.0,Virtual Pool 4,173,45,0.7356,18,39,72
339340,76,19.99,"CAPCOM Co., Ltd.",2016,3978,7,1.0,Resident Evil 0 / biohazard 0 HD REMASTER,"2,329",409,0.8183,32,64,"3,128"
339610,23,0.0,Joycity,2015,1746,0,0.0,FreeStyle 2: Street Basketball,"6,075","2,286",0.7116,730,"1,047","10,356"
343780,8,6.99,0,2015,4726,0,1.0,Cat Goes Fishing,"2,011",192,0.8722,29,47,365
343990,8,0.0,Viva Media,2015,1770,0,0.0,Anti-Opoly,16,26,0.4193,,,
345660,8,19.99,Milestone S.r.l.,2015,123332,0,1.0,RIDE: Game,"1,112",373,0.7212000000000001,9,18,598
345660,8,19.99,Milestone S.r.l.,2015,198913,0,1.0,RIDE: Game,"1,112",373,0.7212000000000001,9,18,598
346470,28,24.99,Mana Games,2013,5914,0,0.0,Tennis Elbow 2013,341,33,0.8426,28,76,143
354140,14,7.99,Scott Cawthon,2015,3978,5,1.0,Five Nights at Freddy's 3,"4,928",683,0.8501000000000001,3,16,"3,212"
354200,70,0.0,Jarbit,2015,3964,0,0.0,Aberoth,773,482,0.6024,14,29,265
356310,48,0.0,SNK CORPORATION,2015,1645,0,0.0,METAL SLUG DEFENSE,764,739,0.5074000000000001,3,13,413
359220,8,9.99,THQ Nordic,2006,198913,0,0.0,MX vs. ATV Unleashed,191,92,0.643,1,4,24
359550,8,19.99,Ubisoft,2015,1774,0,1.0,Tom Clancy's Rainbow Six Siege,"306,220","62,591",0.8233,"65,412","113,425","178,953"
360430,8,39.99,2K,2016,1774,0,0.0,Mafia III,"14,110","13,942",0.5029,449,"1,043","47,822"
362490,18,14.99,Bare Mettle Entertainment,2015,4604,0,0.0,Exanima,"3,108",857,0.7604000000000001,40,64,403
362830,8,9.99,rokapublish,2015,7038,0,0.0,3D Mini Golf,22,33,0.42979999999999996,1,2,7
365020,82,0.49,Andrii Vintsevych,2015,3978,0,1.0,Gynophobia,363,183,0.6401,,,
