Id,Label,timeset,modularity_class,clustering
272890,272890,,3,0.625283
356310,356310,,6,0.517073
530620,530620,,3,0
221040,221040,,6,0
906870,906870,,6,0.537538
242050,242050,,6,0.94183
819630,819630,,6,0.675175
233410,233410,,6,0.793548
381590,381590,,6,0.94183
225300,225300,,3,0.333333
70,70,,3,0.622222
55140,55140,,6,0.94183
663370,663370,,6,0.94183
203160,203160,,3,0.428571
388090,388090,,3,0.333333
251430,251430,,3,0.62936
513650,513650,,6,0.94183
320,320,,6,0.678571
250520,250520,,3,0.808824
466270,466270,,6,0.94183
894940,894940,,6,0.507692
20920,20920,,5,0.6
619930,619930,,6,0.94183
951740,951740,,6,0.94183
812140,812140,,6,0.94183
814380,814380,,5,1
489940,489940,,6,0.94183
287290,287290,,3,0
819080,819080,,3,0.490909
260210,260210,,6,0.94183
452570,452570,,6,0.94183
383120,383120,,6,0.94183
463350,463350,,6,0.584381
105600,105600,,6,0.94183
335620,335620,,6,0.5671
283040,283040,,3,0.77621
291480,291480,,6,0.94183
8800,8800,,3,0.490909
610310,610310,,6,0.625283
99910,99910,,6,0.94183
1089350,1089350,,3,0.666667
485510,485510,,5,0.333333
838390,838390,,3,0.58254
201790,201790,,3,0
354200,354200,,6,0.625283
851940,851940,,3,0.388889
506610,506610,,6,0
298630,298630,,6,0.94183
834910,834910,,6,0.94183
693960,693960,,6,0.94183
268870,268870,,5,1
336150,336150,,3,0.808824
431240,431240,,6,0.646078
774171,774171,,6,0.94183
517630,517630,,6,0.655556
513710,513710,,3,0.529644
65800,65800,,6,0.697466
571740,571740,,6,0.94183
883710,883710,,6,0.672348
718590,718590,,6,0.655556
880470,880470,,6,0.793548
496790,496790,,6,0.94183
225020,225020,,6,0.94183
550650,550650,,6,0.72549
552500,552500,,6,0.543961
582160,582160,,6,0.625283
599460,599460,,6,0.94183
48190,48190,,6,0.94183
460950,460950,,6,1
346470,346470,,6,0.793548
22490,22490,,3,0.733333
521580,521580,,6,0.94183
630,630,,6,0.6
33230,33230,,6,0.94183
802320,802320,,6,0.655556
282800,282800,,6,0.94183
201870,201870,,6,0.507692
286160,286160,,3,0.5
209100,209100,,6,0.675
304240,304240,,6,0.793548
434460,434460,,6,0.94183
339340,339340,,3,0
643590,643590,,6,0.94183
7000,7000,,3,1
32360,32360,,6,0.78022
334940,334940,,6,0.94183
281990,281990,,6,0.94183
378540,378540,,6,0.94183
726590,726590,,3,0.551282
380,380,,3,0.666667
552990,552990,,6,0.94183
218230,218230,,6,0.591482
668430,668430,,6,0.702803
265300,265300,,6,0.422222
254700,254700,,6,0.678571
240600,240600,,6,0.94183
255520,255520,,7,0
8000,8000,,3,0.672727
362830,362830,,6,0.94183
33930,33930,,5,0.678571
277430,277430,,6,0.94183
550,550,,3,1
636070,636070,,5,0.678571
661790,661790,,5,0
755500,755500,,6,0.94183
17570,17570,,6,0.507692
877180,877180,,6,0.94183
1072610,1072610,,6,0.94183
587650,587650,,6,0.94183
345660,345660,,6,0.94183
228300,228300,,3,0.549451
365020,365020,,3,1
1079420,1079420,,3,0.57958
626610,626610,,6,0.94183
296200,296200,,6,0.94183
550840,550840,,8,0
20900,20900,,6,0.94183
711540,711540,,6,0.94183
332800,332800,,3,1
679990,679990,,3,1
12120,12120,,6,0.696564
